"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of goods (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of services (million euros)";"Expenditure approach to GDP/Final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Households including NPISHs (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Enterprises and households (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Changes in inventories incl. valuables (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Total (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of goods (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of services (million euros)"
"Prices of 2015";"2006 1st quarter";"  247171";"  158241";"   89212";"   68333";"   20563";"  247171";"  143356";"  112986";"   76058";"   36917";"   30671";"   24510";"    6137";"    -472";"  104120";"   82193";"   21430"
"Prices of 2015";"2006 2nd quarter";"  256676";"  161466";"   95641";"   70083";"   24128";"  256676";"  150162";"  117467";"   77499";"   39953";"   33836";"   27311";"    6504";"   -1363";"  106537";"   82690";"   23415"
"Prices of 2015";"2006 3rd quarter";"  248619";"  156216";"   92667";"   68779";"   23589";"  248619";"  145627";"  114230";"   77600";"   36581";"   31283";"   25089";"    6170";"     -31";"  103309";"   80470";"   22565"
"Prices of 2015";"2006 4th quarter";"  265456";"  166313";"   99642";"   73201";"   26133";"  265456";"  154432";"  117436";"   75861";"   41512";"   35969";"   28610";"    7366";"     831";"  111396";"   86219";"   24897"
"Prices of 2015";"2006";" 1017899";"  642232";"  377257";"  280433";"   94556";" 1017899";"  593552";"  462123";"  307016";"  154949";"  131959";"  105714";"   26193";"   -1051";"  425368";"  331601";"   92298"
"Prices of 2015";"2007 1st quarter";"  257301";"  163670";"   93903";"   72254";"   21290";"  257301";"  148784";"  115368";"   77270";"   38094";"   34368";"   27936";"    6351";"   -1306";"  108823";"   86156";"   22135"
"Prices of 2015";"2007 2nd quarter";"  265915";"  166693";"   99662";"   73329";"   24826";"  265915";"  154789";"  119378";"   78402";"   40966";"   36056";"   29314";"    6700";"    -933";"  111120";"   85754";"   24940"
"Prices of 2015";"2007 3rd quarter";"  261522";"  162777";"   99001";"   74016";"   24639";"  261522";"  151889";"  117082";"   78986";"   38060";"   33389";"   27158";"    6186";"    1205";"  109916";"   85547";"   24080"
"Prices of 2015";"2007 4th quarter";"  286900";"  173321";"  114038";"   75837";"   38233";"  286900";"  169161";"  120860";"   78110";"   42684";"   47492";"   40145";"    7156";"     315";"  118261";"   91089";"   26898"
"Prices of 2015";"2007";" 1071659";"  666462";"  406732";"  295467";"  109227";" 1071659";"  624575";"  472690";"  312772";"  159791";"  151468";"  124716";"   26412";"    -734";"  448146";"  348582";"   98053"
