 STN,YYYYMMDD,   SQ,   SP,    Q,   DR,   RH,  VVN,  VVX,   NG
  260,19900801,  136,   88, 2460,    0,    0,   25,   75,    1
  260,19900802,  141,   91, 2496,    0,    0,   62,   80,    1
  260,19900803,  131,   85, 2339,    0,    0,   58,   75,    0
  260,19900804,  116,   75, 2120,    0,    0,   35,   67,    2
  260,19900805,   49,   32, 1628,    0,    0,    1,   80,    5
  260,19900806,   54,   35, 1702,    3,    6,   70,   80,    5
  260,19900807,   77,   51, 1792,    0,   -1,   70,   80,    4
  260,19900808,   60,   40, 1480,    0,   -1,   60,   80,    4
  260,19900809,   46,   30, 1710,    0,    0,   50,   62,    6
  260,19900810,   55,   37, 1417,    0,   -1,   57,   80,    6
  260,19900811,   98,   65, 2193,    0,    0,   50,   75,    5
  260,19900812,   88,   59, 2001,    3,    3,   50,   80,    6
  260,19900813,  119,   80, 2231,    0,   -1,   45,   70,    4
  260,19900814,   37,   25, 1429,    0,    0,   40,   80,    5
  260,19900815,   49,   33, 1324,    6,    8,   60,   75,    6
  260,19900816,   80,   55, 1534,    0,   -1,   63,   80,    5
  260,19900817,   53,   36, 1384,    4,   16,   60,   80,    6
  260,19900818,   30,   21,  642,  123,  232,    5,   70,    5
  260,19900819,   37,   26, 1206,   46,   97,    2,   59,    6
  260,19900820,   57,   40, 1324,   34,  113,   35,   80,    6
  260,19900821,   19,   13,  765,   12,   21,   67,   80,    6
  260,19900822,   13,    9,  882,    0,   -1,   12,   75,    5
  260,19900823,   63,   44, 1555,    0,    0,    1,   75,    3
  260,19900824,  118,   83, 1988,    0,    0,   50,   72,    2
  260,19900825,   62,   44, 1593,    0,    0,   25,   65,    2
  260,19900826,   37,   26, 1397,    0,    0,    1,   64,    3
  260,19900827,   95,   68, 1730,    0,    0,   30,   63,    1
  260,19900828,   71,   51, 1557,    0,    0,   28,   62,    3
  260,19900829,   85,   61, 1641,    0,    0,   25,   57,    1
  260,19900830,   20,   15,  618,    1,    3,   35,   75,    6
  260,19900831,    0,    0,  460,   72,   66,   15,   70,    7
  260,19900901,    1,    1,  619,   27,    4,   12,   57,    8
  260,19900902,    0,    0,  376,   21,   18,   30,   62,    8
  260,19900903,   64,   47, 1443,    3,    8,   30,   80,    6
  260,19900904,   93,   69, 1651,   26,   48,   25,   82,    4
  260,19900905,   81,   60, 1547,    0,   -1,   58,   80,    5
  260,19900906,   11,    8,  572,   18,   26,   23,   75,    7
  260,19900907,   25,   19,  851,   32,   64,   50,   75,    6
  260,19900908,   45,   34, 1024,    1,    3,   57,   80,    5
  260,19900909,   51,   39, 1176,    0,   -1,   70,   81,    6
  260,19900910,    0,    0,  424,   38,   24,   45,   80,    7
  260,19900911,   95,   73, 1645,    0,    0,    2,   82,    3
  260,19900912,   17,   13,  798,    0,   -1,    0,   70,    6
  260,19900913,   54,   42, 1173,    0,    0,   50,   80,    3
  260,19900914,   90,   70, 1438,    0,    0,   30,   70,    2
  260,19900915,   14,   11,  895,    0,   -1,   70,   80,    6
  260,19900916,   10,    8,  698,    0,    0,   75,   82,    6
  260,19900917,    7,    6,  512,   25,   35,   22,   75,    7
  260,19900918,    4,    3,  463,   25,    6,   40,   75,    7
  260,19900919,   24,   19,  445,   34,   76,   25,   80,    6
  260,19900920,    1,    1,  372,   25,   11,   56,   80,    7
  260,19900921,   31,   25,  809,   59,   91,   18,   80,    6
  260,19900922,    0,    0,  303,    8,    8,   56,   75,    7
  260,19900923,   27,   22,  950,    8,   16,   26,   70,    6
  260,19900924,   65,   54,  958,   60,  201,   25,   75,    6
  260,19900925,   50,   41,  899,   42,   51,   57,   75,    6
  260,19900926,   34,   28,  895,    4,    2,   60,   81,    6
  260,19900927,   25,   21,  857,    4,    1,   68,   80,    6
  260,19900928,   36,   30,  833,   12,    7,   30,   64,    3
  260,19900929,   10,    8,  681,   23,   59,   20,   57,    6
  260,19900930,   17,   14,  636,   34,   40,    8,   58,    8
  260,19901001,   40,   34,  827,    0,    0,   60,   80,    6
  260,19901002,   16,   14,  897,    0,    0,   12,   60,    6
  260,19901003,   28,   24,  865,    3,    8,   45,   80,    7
  260,19901004,   78,   68,  970,    1,    2,   59,   80,    5
  260,19901005,    0,    0,  184,   97,   90,   30,   75,    7
  260,19901006,   19,   17,  530,    4,   11,   58,   75,    7
  260,19901007,   54,   48,  879,   16,   27,   65,   80,    5
  260,19901008,   14,   12,  515,    0,   -1,   70,   80,    4
  260,19901009,   16,   14,  592,    0,    0,   57,   70,    6
  260,19901010,    2,    2,  380,    0,    0,   56,   62,    7
  260,19901011,    7,    6,  488,    0,   -1,   50,   68,    6
  260,19901012,   87,   80, 1023,    0,    0,   26,   62,    1
  260,19901013,   48,   44,  863,    0,    0,   48,   75,    3
  260,19901014,   26,   24,  719,    0,    0,   50,   65,    5
  260,19901015,   21,   20,  694,    0,    0,   50,   67,    6
  260,19901016,   67,   63,  888,    0,   -1,   62,   75,    4
  260,19901017,    0,    0,  192,   35,   63,    1,   60,    6
  260,19901018,    9,    9,  326,   15,   16,    0,   70,    7
  260,19901019,    2,    2,  486,    0,    0,   50,   65,    6
  260,19901020,   24,   23,  611,    0,    0,   18,   64,    6
  260,19901021,   83,   80,  931,    0,    0,   20,   80,    2
  260,19901022,   96,   93, 1002,    0,    0,   70,   80,    1
  260,19901023,   94,   92,  907,    0,    0,   60,   74,    1
  260,19901024,   89,   88,  840,    0,    0,   50,   63,    1
  260,19901025,   22,   22,  497,   28,   11,   18,   60,    6
  260,19901026,   13,   13,  402,   34,   48,   50,   65,    5
  260,19901027,    7,    7,  299,    0,   -1,   65,   80,    4
  260,19901028,    0,    0,   79,   94,  175,   40,   82,    8
  260,19901029,   70,   71,  750,   35,   39,   57,   81,    5
  260,19901030,   32,   33,  412,   24,   46,   58,   75,    5
  260,19901031,   35,   36,  477,   51,  101,   30,   80,    6
  260,19901101,   24,   25,  350,   50,   72,   56,   75,    7
  260,19901102,    0,    0,  262,   27,   24,   16,   75,    6
  260,19901103,   16,   17,  363,   28,   37,   65,   80,    5
  260,19901104,   35,   37,  450,    4,    1,   70,   80,    4
  260,19901105,   68,   72,  670,    0,    0,   65,   80,    4
  260,19901106,   17,   18,  424,    0,   -1,    3,   75,    5
  260,19901107,    0,    0,  200,    0,    0,   38,   70,    7
  260,19901108,    0,    0,  104,    0,    0,   35,   60,    7
  260,19901109,   77,   84,  627,    0,    0,   45,   59,    2
  260,19901110,    0,    0,  109,    9,   19,    7,   50,    7
  260,19901111,   11,   12,  281,   50,   93,   13,   60,    8
  260,19901112,    0,    0,  175,    0,    0,    0,   58,    8
  260,19901113,    0,    0,   68,   41,   35,    9,   56,    8
  260,19901114,    2,    2,  103,   54,   67,   20,   60,    7
  260,19901115,   12,   14,  243,   24,   36,   56,   72,    7
  260,19901116,    0,    0,   54,   10,    9,    2,   70,    8
  260,19901117,    0,    0,   53,  113,  140,   35,   70,    7
  260,19901118,   38,   44,  314,   20,   21,   57,   80,    5
  260,19901119,    2,    2,  259,   69,  155,   40,   75,    6
  260,19901120,    8,    9,  178,   46,   88,    8,   85,    7
  260,19901121,   57,   67,  430,   21,   23,   56,   80,    5
  260,19901122,   40,   47,  328,    0,   -1,    1,   60,    3
  260,19901123,    0,    0,   58,    0,    0,    1,   57,    8
  260,19901124,    0,    0,   96,   24,   16,   35,   72,    7
  260,19901125,    0,    0,  149,   19,   12,   28,   75,    6
  260,19901126,    0,    0,   33,   48,    8,    9,   62,    7
  260,19901127,    3,    4,  135,    0,    0,    2,   75,    6
  260,19901128,   29,   35,  267,    0,    0,    2,   65,    5
  260,19901129,    0,    0,  105,   18,   10,    1,   70,    5
  260,19901130,   20,   25,  260,    0,   -1,   20,   75,    3
  260,19901201,    6,    7,  168,    0,   -1,   50,   70,    7
  260,19901202,    0,    0,   73,    0,   -1,   30,   70,    8
  260,19901203,    0,    0,   68,    8,    3,   10,   62,    7
  260,19901204,   32,   40,  262,   11,    7,   40,   80,    5
  260,19901205,   23,   29,  241,    0,   -1,   67,   80,    5
  260,19901206,    4,    5,  206,    0,    0,    3,   67,    7
  260,19901207,   38,   48,  271,    0,   -1,   45,   70,    5
  260,19901208,    0,    0,   58,    0,   -1,   56,   70,    6
  260,19901209,   -1,    0,   96,    0,   -1,   45,   65,    7
  260,19901210,    0,    0,   32,   20,   26,   33,   57,    8
  260,19901211,    0,    0,   58,   29,   21,   35,   60,    8
  260,19901212,   22,   28,  219,   69,   90,   40,   75,    7
  260,19901213,    7,    9,  144,    3,    1,   56,   70,    8
  260,19901214,    9,   12,  225,    0,   -1,   57,   75,    7
  260,19901215,    1,    1,  107,   10,    7,   35,   68,    6
  260,19901216,    0,    0,  129,    0,    0,   30,   61,    6
  260,19901217,    0,    0,   82,    0,    0,   15,   57,    7
  260,19901218,    0,    0,  129,    0,   -1,   35,   56,    8
  260,19901219,    0,    0,   40,    0,   -1,   15,   64,    7
  260,19901220,    0,    0,   91,   63,  106,   25,   63,    8
  260,19901221,   27,   35,  268,    3,    4,    3,   70,    5
  260,19901222,    0,    0,   51,    0,   -1,    1,   65,    8
  260,19901223,   14,   18,  182,    0,   -1,   56,   65,    8
  260,19901224,    0,    0,   75,    0,   -1,   40,   57,    8
  260,19901225,    0,    0,  146,   27,   24,   45,   75,    7
  260,19901226,    0,    0,  107,   71,  166,   35,   75,    6
  260,19901227,   18,   23,  177,   16,   11,   60,   81,    5
  260,19901228,    7,    9,  213,   17,    2,   40,   75,    5
  260,19901229,    0,    0,   60,   91,  115,   45,   75,    8
  260,19901230,   60,   77,  342,    0,    0,   68,   80,    2
  260,19901231,    9,   12,  213,   15,    9,   40,   72,    6
  260,19910101,   59,   75,  332,   20,   28,   57,   70,    4
  260,19910102,    0,    0,   54,  130,  204,   18,   70,    8
  260,19910103,    0,    0,  156,   35,   20,   50,   75,    7
  260,19910104,   42,   53,  279,    2,    4,   65,   80,    4
  260,19910105,    0,    0,   69,   38,   37,   62,   80,    4
  260,19910106,   24,   30,  198,   25,   13,   60,   80,    6
