"Housing characteristics";"Periods";"Regions";"Average consumption of natural gas (m3)";"Average supply of electricity (kWh)"
"Apartment";"2022*";"Utrecht (PV)";"     550";"    1960"
"Apartment";"2010";"Noord-Holland (PV)";"    1200";"    2200"
"Apartment";"2011";"Noord-Holland (PV)";"     950";"    2200"
"Apartment";"2012";"Noord-Holland (PV)";"    1000";"    2200"
"Apartment";"2013";"Noord-Holland (PV)";"    1100";"    2150"
"Apartment";"2014";"Noord-Holland (PV)";"     800";"    2100"
"Apartment";"2015";"Noord-Holland (PV)";"     860";"    2080"
"Apartment";"2016";"Noord-Holland (PV)";"     890";"    2040"
"Apartment";"2017";"Noord-Holland (PV)";"     850";"    2010"
"Apartment";"2018";"Noord-Holland (PV)";"     840";"    1970"
"Apartment";"2019";"Noord-Holland (PV)";"     780";"    1920"
"Apartment";"2020";"Noord-Holland (PV)";"     750";"    1960"
"Apartment";"2021";"Noord-Holland (PV)";"     840";"    2000"
"Apartment";"2022*";"Noord-Holland (PV)";"     660";"    1900"
"Apartment";"2010";"Zuid-Holland (PV)";"    1250";"    2350"
"Apartment";"2011";"Zuid-Holland (PV)";"     950";"    2300"
"Apartment";"2012";"Zuid-Holland (PV)";"    1000";"    2300"
"Apartment";"2013";"Zuid-Holland (PV)";"    1050";"    2250"
"Apartment";"2014";"Zuid-Holland (PV)";"     800";"    2200"
"Apartment";"2015";"Zuid-Holland (PV)";"     860";"    2170"
"Apartment";"2016";"Zuid-Holland (PV)";"     890";"    2140"
"Apartment";"2017";"Zuid-Holland (PV)";"     850";"    2120"
"Apartment";"2018";"Zuid-Holland (PV)";"     850";"    2090"
"Apartment";"2019";"Zuid-Holland (PV)";"     800";"    2050"
"Apartment";"2020";"Zuid-Holland (PV)";"     770";"    2050"
"Apartment";"2021";"Zuid-Holland (PV)";"     860";"    2110"
"Apartment";"2022*";"Zuid-Holland (PV)";"     680";"    2010"
"Apartment";"2010";"Zeeland (PV)";"    1200";"    2100"
"Apartment";"2011";"Zeeland (PV)";"     950";"    2100"
"Apartment";"2012";"Zeeland (PV)";"    1000";"    2100"
"Apartment";"2013";"Zeeland (PV)";"    1050";"    2050"
"Apartment";"2014";"Zeeland (PV)";"     800";"    2000"
"Apartment";"2015";"Zeeland (PV)";"     850";"    1990"
"Apartment";"2016";"Zeeland (PV)";"     850";"    1920"
"Apartment";"2017";"Zeeland (PV)";"     810";"    1880"
"Apartment";"2018";"Zeeland (PV)";"     820";"    1860"
"Apartment";"2019";"Zeeland (PV)";"     770";"    1820"
"Apartment";"2020";"Zeeland (PV)";"     760";"    1840"
"Apartment";"2021";"Zeeland (PV)";"     850";"    1880"
"Apartment";"2022*";"Zeeland (PV)";"     690";"    1810"
"Apartment";"2010";"Noord-Brabant (PV)";"    1150";"    2300"
"Apartment";"2011";"Noord-Brabant (PV)";"     850";"    2300"
"Apartment";"2012";"Noord-Brabant (PV)";"     950";"    2300"
"Apartment";"2013";"Noord-Brabant (PV)";"     950";"    2200"
"Apartment";"2014";"Noord-Brabant (PV)";"     700";"    2150"
"Apartment";"2015";"Noord-Brabant (PV)";"     760";"    2150"
"Apartment";"2016";"Noord-Brabant (PV)";"     780";"    2090"
"Apartment";"2017";"Noord-Brabant (PV)";"     750";"    2070"
"Apartment";"2018";"Noord-Brabant (PV)";"     750";"    2050"
"Apartment";"2019";"Noord-Brabant (PV)";"     690";"    2010"
"Apartment";"2020";"Noord-Brabant (PV)";"     690";"    2010"
"Apartment";"2021";"Noord-Brabant (PV)";"     750";"    2050"
"Apartment";"2022*";"Noord-Brabant (PV)";"     600";"    1970"
"Apartment";"2010";"Limburg (PV)";"    1300";"    2250"
"Apartment";"2011";"Limburg (PV)";"     950";"    2200"
"Apartment";"2012";"Limburg (PV)";"    1050";"    2200"
"Apartment";"2013";"Limburg (PV)";"    1100";"    2150"
"Apartment";"2014";"Limburg (PV)";"     800";"    2100"
"Apartment";"2015";"Limburg (PV)";"     900";"    2100"
"Apartment";"2016";"Limburg (PV)";"     930";"    2050"
