"Bron/techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik (TJ)";"Bruto eindverbruik relatief (% van totaal eindverbruik energie)"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2019";"   10279";"    0.49"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2020";"   11282";"    0.58"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2021 ";"   11847";"    0.59"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2022 ";"   12783";"    0.69"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2023 **";"   13455";"    0.75"
"Bodemwarmte";"Totaal energietoepassingen";"2000";"     156";"    0.01"
"Bodemwarmte";"Totaal energietoepassingen";"2001";"     187";"    0.01"
"Bodemwarmte";"Totaal energietoepassingen";"2002";"     244";"    0.01"
"Bodemwarmte";"Totaal energietoepassingen";"2003";"     311";"    0.01"
"Bodemwarmte";"Totaal energietoepassingen";"2004";"     452";"    0.02"
"Bodemwarmte";"Totaal energietoepassingen";"2005";"     628";"    0.03"
"Bodemwarmte";"Totaal energietoepassingen";"2006";"     840";"    0.04"
"Bodemwarmte";"Totaal energietoepassingen";"2007";"    1141";"    0.05"
"Bodemwarmte";"Totaal energietoepassingen";"2008";"    1488";"    0.07"
"Bodemwarmte";"Totaal energietoepassingen";"2009";"    1841";"    0.08"
"Bodemwarmte";"Totaal energietoepassingen";"2010";"    2183";"    0.09"
"Bodemwarmte";"Totaal energietoepassingen";"2011";"    2538";"    0.12"
"Bodemwarmte";"Totaal energietoepassingen";"2012";"    2852";"    0.13"
"Bodemwarmte";"Totaal energietoepassingen";"2013";"    3147";"    0.14"
"Bodemwarmte";"Totaal energietoepassingen";"2014";"    3404";"    0.17"
"Bodemwarmte";"Totaal energietoepassingen";"2015";"    3634";"    0.18"
"Bodemwarmte";"Totaal energietoepassingen";"2016";"    3855";"    0.18"
"Bodemwarmte";"Totaal energietoepassingen";"2017";"    4081";"    0.19"
"Bodemwarmte";"Totaal energietoepassingen";"2018";"    4383";"    0.21"
"Bodemwarmte";"Totaal energietoepassingen";"2019";"    4715";"    0.23"
"Bodemwarmte";"Totaal energietoepassingen";"2020";"    5097";"    0.26"
"Bodemwarmte";"Totaal energietoepassingen";"2021 ";"    5520";"    0.28"
"Bodemwarmte";"Totaal energietoepassingen";"2022 ";"    5984";"    0.32"
"Bodemwarmte";"Totaal energietoepassingen";"2023 **";"    6657";"    0.37"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2000";"      23";"    0.00"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2001";"      28";"    0.00"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2002";"      44";"    0.00"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2003";"      59";"    0.00"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2004";"      72";"    0.00"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2005";"      81";"    0.00"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2006";"      90";"    0.00"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2007";"     106";"    0.00"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2008";"     195";"    0.01"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2009";"     351";"    0.02"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2010";"     536";"    0.02"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2011";"     737";"    0.03"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2012";"     961";"    0.04"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2013";"    1230";"    0.06"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2014";"    1592";"    0.08"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2015";"    2019";"    0.10"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2016";"    2635";"    0.13"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2017";"    3529";"    0.17"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2018";"    4668";"    0.22"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2019";"    6167";"    0.30"
"Buitenluchtwarmte";"Totaal energietoepassingen";"2020";"    8012";"    0.41"
