variant,strategy,horizon,mape,n,delta_vs_v0,delta_vs_oracle
V4_pub_lag,Ridge,30,4.715796851289804,50,0.07622595354666739,-0.08740314871019628
V4_pub_lag,Ridge,90,5.471706873315936,50,0.17587961764646387,0.11510687331593594
V4_pub_lag,Ridge,180,5.718479861237668,50,0.3111059592265839,0.6059798612376683
V0_baseline,Lasso,1,2.765477914345658,50,0.0,0.243777914345658
V0_baseline,Lasso,3,3.802703812918888,50,0.0,0.39430381291888805
V0_baseline,Lasso,7,4.224972213643292,50,0.0,0.011872213643291829
V0_baseline,Lasso,30,4.766853981049539,50,0.0,-0.07284601895046094
V0_baseline,Lasso,90,5.430909701889844,50,0.0,-0.031390298110156145
V0_baseline,Lasso,180,5.602634398625182,50,0.0,0.3450343986251818
V1_nwp_proxy,Lasso,1,2.5358097061909937,50,-0.22966820815466438,0.01410970619099361
V1_nwp_proxy,Lasso,3,3.372374316825705,50,-0.43032949609318294,-0.03602568317429489
V1_nwp_proxy,Lasso,7,4.224972213643292,50,0.0,0.011872213643291829
V1_nwp_proxy,Lasso,30,4.766853981049539,50,0.0,-0.07284601895046094
V1_nwp_proxy,Lasso,90,5.430909701889844,50,0.0,-0.031390298110156145
V1_nwp_proxy,Lasso,180,5.602634398625182,50,0.0,0.3450343986251818
V2_ar_decay,Lasso,1,2.6004176418778155,50,-0.1650602724678425,0.07871764187781549
V2_ar_decay,Lasso,3,3.6250416131837415,50,-0.1776621997351464,0.21664161318374164
V2_ar_decay,Lasso,7,4.434830511985179,50,0.20985829834188774,0.22173051198517957
V2_ar_decay,Lasso,30,4.7757231678110905,50,0.008869186761551795,-0.06397683218890915
V2_ar_decay,Lasso,90,5.438204794233195,50,0.007295092343350795,-0.02409520576680535
V2_ar_decay,Lasso,180,5.6083434167651705,50,0.005709018139988586,0.3507434167651704
V3_trend_clim,Lasso,1,2.765477914345658,50,0.0,0.243777914345658
V3_trend_clim,Lasso,3,3.802703812918888,50,0.0,0.39430381291888805
V3_trend_clim,Lasso,7,4.224972213643292,50,0.0,0.011872213643291829
V3_trend_clim,Lasso,30,4.787140104118008,50,0.020286123068469664,-0.05255989588199128
V3_trend_clim,Lasso,90,5.448643920242893,50,0.017734218353049336,-0.01365607975710681
V3_trend_clim,Lasso,180,5.617656383924566,50,0.015021985299384255,0.36005638392456607
V4_pub_lag,Lasso,1,2.8138561434748124,50,0.04837822912915435,0.29215614347481234
V4_pub_lag,Lasso,3,3.843865068867227,50,0.04116125594833919,0.43546506886722725
V4_pub_lag,Lasso,7,4.488894056712648,50,0.2639218430693564,0.27579405671264823
V4_pub_lag,Lasso,30,4.923297717394094,50,0.15644373634455544,0.0835977173940945
V4_pub_lag,Lasso,90,5.583533210300161,50,0.15262350841031758,0.12123321030016143
V4_pub_lag,Lasso,180,5.907415625848959,50,0.3047812272237769,0.6498156258489587
